,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
166,0.055547475814819336,0.003014319643079449,0.021257797876993816,0.0016752661404112687,"{0: 1, 1: 2}",entropy,6,sqrt,0.05,random,"{'class_weight': {0: 1, 1: 2}, 'criterion': 'entropy', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.05, 'splitter': 'random'}",0.6396396396396397,0.6343042071197411,0.6276276276276276,0.6338571581290028,0.004914061303665276,64
154,0.06526454289754231,0.005118093183157612,0.02570645014444987,0.0011018958110554635,"{0: 1, 1: 2}",entropy,3,sqrt,0.05,random,"{'class_weight': {0: 1, 1: 2}, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 0.05, 'splitter': 'random'}",0.6396396396396397,0.6343042071197411,0.6276276276276276,0.6338571581290028,0.004914061303665276,64
10,0.057489871978759766,0.0034293542974692024,0.02633388837178548,0.0044786222706025966,,entropy,3,sqrt,0.05,random,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 0.05, 'splitter': 'random'}",0.6396396396396397,0.6343042071197411,0.6276276276276276,0.6338571581290028,0.004914061303665276,64
202,0.05644973119099935,0.0037543693246190955,0.02108931541442871,0.0038794685832188583,"{0: 1, 1: 2}",gini,6,sqrt,0.05,random,"{'class_weight': {0: 1, 1: 2}, 'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_split': 0.05, 'splitter': 'random'}",0.6396396396396397,0.6343042071197411,0.6276276276276276,0.6338571581290028,0.004914061303665276,64
46,0.05189077059427897,0.0022906397845004673,0.019948482513427734,0.0008164385158484595,,gini,3,sqrt,0.05,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_split': 0.05, 'splitter': 'random'}",0.6396396396396397,0.6343042071197411,0.6276276276276276,0.6338571581290028,0.004914061303665276,64
28,0.13748955726623535,0.01423339234321983,0.02419439951578776,0.0009542703620266787,,entropy,9,,0.05,random,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 9, 'max_features': None, 'min_samples_split': 0.05, 'splitter': 'random'}",0.6390243902439025,0.6347607052896725,0.6271186440677966,0.6336345798671239,0.004925296393988053,71
148,0.09121092160542806,0.006347733445824006,0.023406346638997395,0.0014395282521006381,"{0: 1, 1: 2}",entropy,3,,0.05,random,"{'class_weight': {0: 1, 1: 2}, 'criterion': 'entropy', 'max_depth': 3, 'max_features': None, 'min_samples_split': 0.05, 'splitter': 'random'}",0.6397058823529411,0.6347607052896725,0.6253041362530414,0.6332569079652183,0.0059748711269935134,72
4,0.1023863951365153,0.010404918446277804,0.024113178253173828,0.0016468371548170164,,entropy,3,,0.05,random,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 3, 'max_features': None, 'min_samples_split': 0.05, 'splitter': 'random'}",0.6397058823529411,0.6347607052896725,0.6253041362530414,0.6332569079652183,0.0059748711269935134,72
184,0.07167092959086101,0.005754931082711169,0.015923023223876953,0.0007330155336392087,"{0: 1, 1: 2}",gini,3,,0.05,random,"{'class_weight': {0: 1, 1: 2}, 'criterion': 'gini', 'max_depth': 3, 'max_features': None, 'min_samples_split': 0.05, 'splitter': 'random'}",0.6397058823529411,0.6347607052896725,0.6253041362530414,0.6332569079652183,0.0059748711269935134,72
5,0.1104425589243571,0.006808345762746283,0.02559796969095866,0.003536517309250867,,entropy,3,,0.05,best,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 3, 'max_features': None, 'min_samples_split': 0.05, 'splitter': 'best'}",0.6397058823529411,0.6347607052896725,0.6253041362530414,0.6332569079652183,0.0059748711269935134,72
29,0.1751244862874349,0.005780620589176016,0.02261773745218913,0.0017015945664013523,,entropy,9,,0.05,best,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 9, 'max_features': None, 'min_samples_split': 0.05, 'splitter': 'best'}",0.6397058823529411,0.6347607052896725,0.6253041362530414,0.6332569079652183,0.0059748711269935134,72
65,0.1553370157877604,0.005945952845549876,0.020938316980997723,7.704359880064113e-06,,gini,9,,0.05,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'min_samples_split': 0.05, 'splitter': 'best'}",0.6397058823529411,0.6347607052896725,0.6253041362530414,0.6332569079652183,0.0059748711269935134,72
53,0.12134861946105957,0.012980803094338083,0.020278215408325195,0.0028599725424208584,,gini,6,,0.05,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 6, 'max_features': None, 'min_samples_split': 0.05, 'splitter': 'best'}",0.6397058823529411,0.6347607052896725,0.6253041362530414,0.6332569079652183,0.0059748711269935134,72
41,0.09527293841044109,0.006356255369403819,0.022077480951944988,0.0016028165627918615,,gini,3,,0.05,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': None, 'min_samples_split': 0.05, 'splitter': 'best'}",0.6397058823529411,0.6347607052896725,0.6253041362530414,0.6332569079652183,0.0059748711269935134,72
